Border_Zone,Incident_Count,Risk_Level,Risk_Label
Andaman & Nicobar Islands,166,Low,1
Andhra Pradesh,113618,High,0
Arunachal Pradesh,1658,Low,1
Assam,22236,Low,1
Bihar,45754,Medium,2
Chandigarh,14842,Low,1
Chhattisgarh,33310,Medium,2
Dadra & Nagar Haveli,446,Low,1
Daman & Diu,510,Low,1
Delhi,197330,High,0
Goa,4404,Low,1
Gujarat,158396,High,0
Haryana,118926,High,0
Himachal Pradesh,4750,Low,1
Jammu & Kashmir,13088,Low,1
Jharkhand,26826,Medium,2
Karnataka,134254,High,0
Kerala,37480,Medium,2
Lakshadweep,22,Low,1
Madhya Pradesh,155380,High,0
Maharashtra,262564,High,0
Manipur,3388,Low,1
Meghalaya,2348,Low,1
Mizoram,868,Low,1
Nagaland,4014,Low,1
Odisha,33144,Medium,2
Puducherry,7082,Low,1
Punjab,35484,Medium,2
Rajasthan,151722,High,0
Sikkim,142,Low,1
Tamil Nadu,82306,Medium,2
Tripura,996,Low,1
Uttar Pradesh,183116,High,0
Uttarakhand,10662,Low,1
West Bengal,58658,Medium,2
